x	y
0	1
0.82673	0.67728
1.6535	-0.082579
2.4802	-0.78914
3.3069	-0.98636
4.1337	-0.54695
4.9604	0.24549
5.7871	0.87947
6.6139	0.94582
7.4406	0.4017
8.2673	-0.4017
9.0941	-0.94582
9.9208	-0.87947
10.748	-0.24549
11.574	0.54695
12.401	0.98636
13.228	0.78914
14.054	0.082579
14.881	-0.67728
15.708	-1


z	spline	int_spline	cos(z)
0	1	0	0
0.10542	0.95885	0.10325	0.10523
0.21085	0.9177	0.20217	0.20929
0.31627	0.87654	0.29675	0.31102
0.42169	0.83539	0.38698	0.4093
0.52711	0.79424	0.47288	0.50304
0.63254	0.75309	0.55445	0.59119
0.73796	0.71194	0.63167	0.67278
0.84338	0.66198	0.70448	0.7469
0.9488	0.56509	0.76916	0.81272
1.0542	0.46819	0.82363	0.86952
1.1596	0.3713	0.86788	0.91666
1.2651	0.2744	0.90191	0.95363
1.3705	0.17751	0.92573	0.98001
1.4759	0.080612	0.93934	0.9955
1.5813	-0.016283	0.94273	0.99994
1.6868	-0.11103	0.93594	0.99328
1.7922	-0.20113	0.91949	0.97559
1.8976	-0.29123	0.89353	0.94707
2.003	-0.38133	0.85808	0.90803
2.1085	-0.47143	0.81313	0.85891
2.2139	-0.56152	0.75869	0.80025
2.3193	-0.65162	0.69474	0.73271
2.4247	-0.74172	0.62129	0.65703
2.5301	-0.80105	0.53912	0.57406
2.6356	-0.8262	0.45334	0.48471
2.741	-0.85135	0.36492	0.38998
2.8464	-0.8765	0.27384	0.29092
2.9518	-0.90165	0.18011	0.18862
3.0573	-0.9268	0.083733	0.084238
3.1627	-0.95195	-0.015299	-0.021083
3.2681	-0.9771	-0.11698	-0.12617
3.3735	-0.95097	-0.21961	-0.22986
3.4789	-0.89494	-0.31691	-0.33099
3.5844	-0.83891	-0.4083	-0.42845
3.6898	-0.78287	-0.49379	-0.52115
3.7952	-0.72684	-0.57337	-0.60806
3.9006	-0.67081	-0.64704	-0.68823
4.0061	-0.61478	-0.7148	-0.76075
4.1115	-0.55874	-0.77666	-0.82482
4.2169	-0.46717	-0.83113	-0.87974
4.3223	-0.36612	-0.87506	-0.92488
4.4277	-0.26508	-0.90833	-0.95976
4.5332	-0.16403	-0.93095	-0.98398
4.6386	-0.062979	-0.94291	-0.99728
4.744	0.03807	-0.94423	-0.9995
4.8494	0.13912	-0.93489	-0.99062
4.9549	0.24017	-0.91489	-0.97075
5.0603	0.32207	-0.8852	-0.94009
5.1657	0.40292	-0.84699	-0.899
5.2711	0.48376	-0.80025	-0.84792
5.3766	0.56461	-0.74499	-0.78743
5.482	0.64545	-0.68121	-0.7182
5.5874	0.7263	-0.6089	-0.64099
5.6928	0.80714	-0.52807	-0.55667
5.7982	0.88036	-0.43876	-0.46616
5.9037	0.88882	-0.3455	-0.37048
6.0091	0.89728	-0.25136	-0.27068
6.1145	0.90574	-0.15632	-0.16788
6.2199	0.9142	-0.060384	-0.063211
6.3254	0.92266	0.03644	0.042157
6.4308	0.93112	0.13416	0.14706
6.5362	0.93958	0.23276	0.25032
6.6416	0.92756	0.33198	0.35081
6.747	0.85817	0.42611	0.4474
6.8525	0.78879	0.51292	0.53903
6.9579	0.7194	0.59242	0.62467
7.0633	0.65002	0.6646	0.70337
7.1687	0.58063	0.72947	0.77426
7.2742	0.51125	0.78703	0.83656
7.3796	0.44187	0.83727	0.88957
7.485	0.35856	0.87988	0.9327
7.5904	0.25611	0.91228	0.96547
7.6958	0.15367	0.93388	0.98752
7.8013	0.051223	0.94468	0.99861
7.9067	-0.051223	0.94468	0.99861
8.0121	-0.15367	0.93388	0.98752
8.1175	-0.25611	0.91228	0.96547
8.223	-0.35856	0.87988	0.9327
8.3284	-0.44187	0.83727	0.88957
8.4338	-0.51125	0.78703	0.83656
8.5392	-0.58063	0.72947	0.77426
8.6447	-0.65002	0.6646	0.70337
8.7501	-0.7194	0.59242	0.62467
8.8555	-0.78879	0.51292	0.53903
8.9609	-0.85817	0.42611	0.4474
9.0663	-0.92756	0.33198	0.35081
9.1718	-0.93958	0.23276	0.25032
9.2772	-0.93112	0.13416	0.14706
9.3826	-0.92266	0.03644	0.042157
9.488	-0.9142	-0.060384	-0.063211
9.5935	-0.90574	-0.15632	-0.16788
9.6989	-0.89728	-0.25136	-0.27068
9.8043	-0.88882	-0.3455	-0.37048
9.9097	-0.88036	-0.43876	-0.46616
10.015	-0.80714	-0.52807	-0.55667
10.121	-0.7263	-0.6089	-0.64099
10.226	-0.64545	-0.68121	-0.7182
10.331	-0.56461	-0.74499	-0.78743
10.437	-0.48376	-0.80025	-0.84792
10.542	-0.40292	-0.84699	-0.899
10.648	-0.32207	-0.8852	-0.94009
10.753	-0.24017	-0.91489	-0.97075
10.859	-0.13912	-0.93489	-0.99062
10.964	-0.03807	-0.94423	-0.9995
11.069	0.062979	-0.94291	-0.99728
11.175	0.16403	-0.93095	-0.98398
11.28	0.26508	-0.90833	-0.95976
11.386	0.36612	-0.87506	-0.92488
11.491	0.46717	-0.83113	-0.87974
11.596	0.55874	-0.77666	-0.82482
11.702	0.61478	-0.7148	-0.76075
11.807	0.67081	-0.64704	-0.68823
11.913	0.72684	-0.57337	-0.60806
12.018	0.78287	-0.49379	-0.52115
12.124	0.83891	-0.4083	-0.42845
12.229	0.89494	-0.31691	-0.33099
12.334	0.95097	-0.21961	-0.22986
12.44	0.9771	-0.11698	-0.12617
12.545	0.95195	-0.015299	-0.021083
12.651	0.9268	0.083733	0.084238
12.756	0.90165	0.18011	0.18862
12.862	0.8765	0.27384	0.29092
12.967	0.85135	0.36492	0.38998
13.072	0.8262	0.45334	0.48471
13.178	0.80105	0.53912	0.57406
13.283	0.74172	0.62129	0.65703
13.389	0.65162	0.69474	0.73271
13.494	0.56152	0.75869	0.80025
