x	y	ln(x)	calls
       1 	       0 	       0 	1
     1.1 	0.0953102 	0.0953102 	1
     1.2 	0.182322 	0.182322 	1
     1.3 	0.262364 	0.262364 	1
     1.4 	0.336472 	0.336472 	1
     1.5 	0.405465 	0.405465 	1
     1.6 	0.470004 	0.470004 	1
     1.7 	0.530628 	0.530628 	1
     1.8 	0.587787 	0.587787 	1
     1.9 	0.641854 	0.641854 	1
       2 	0.693147 	0.693147 	2
     2.1 	0.741937 	0.741937 	2
     2.2 	0.788457 	0.788457 	2
     2.3 	0.832909 	0.832909 	2
     2.4 	0.875469 	0.875469 	2
     2.5 	0.916291 	0.916291 	2
     2.6 	0.955511 	0.955511 	2
     2.7 	0.993252 	0.993252 	2
     2.8 	 1.02962 	 1.02962 	2
     2.9 	 1.06471 	 1.06471 	2
       3 	 1.09861 	 1.09861 	2
     3.1 	  1.1314 	  1.1314 	2
     3.2 	 1.16315 	 1.16315 	2
     3.3 	 1.19392 	 1.19392 	2
     3.4 	 1.22378 	 1.22378 	2
     3.5 	 1.25276 	 1.25276 	2
     3.6 	 1.28093 	 1.28093 	2
     3.7 	 1.30833 	 1.30833 	2
     3.8 	   1.335 	   1.335 	2
     3.9 	 1.36098 	 1.36098 	2
       4 	 1.38629 	 1.38629 	3
     4.1 	 1.41099 	 1.41099 	3
     4.2 	 1.43508 	 1.43508 	3
     4.3 	 1.45862 	 1.45862 	3
     4.4 	  1.4816 	  1.4816 	3
     4.5 	 1.50408 	 1.50408 	3
     4.6 	 1.52606 	 1.52606 	3
     4.7 	 1.54756 	 1.54756 	3
     4.8 	 1.56862 	 1.56862 	3
     4.9 	 1.58924 	 1.58924 	3
       5 	 1.60944 	 1.60944 	3
     5.1 	 1.62924 	 1.62924 	3
     5.2 	 1.64866 	 1.64866 	3
     5.3 	 1.66771 	 1.66771 	3
     5.4 	  1.6864 	  1.6864 	3
     5.5 	 1.70475 	 1.70475 	3
     5.6 	 1.72277 	 1.72277 	3
     5.7 	 1.74047 	 1.74047 	3
     5.8 	 1.75786 	 1.75786 	3
     5.9 	 1.77495 	 1.77495 	3
       6 	 1.79176 	 1.79176 	3
     6.1 	 1.80829 	 1.80829 	3
     6.2 	 1.82455 	 1.82455 	3
     6.3 	 1.84055 	 1.84055 	3
     6.4 	  1.8563 	  1.8563 	3
     6.5 	  1.8718 	  1.8718 	3
     6.6 	 1.88707 	 1.88707 	3
     6.7 	 1.90211 	 1.90211 	3
     6.8 	 1.91692 	 1.91692 	3
     6.9 	 1.93152 	 1.93152 	3
       7 	 1.94591 	 1.94591 	3
     7.1 	 1.96009 	 1.96009 	3
     7.2 	 1.97408 	 1.97408 	3
     7.3 	 1.98787 	 1.98787 	3
     7.4 	 2.00148 	 2.00148 	3
     7.5 	  2.0149 	  2.0149 	3
     7.6 	 2.02815 	 2.02815 	3
     7.7 	 2.04122 	 2.04122 	3
     7.8 	 2.05412 	 2.05412 	3
     7.9 	 2.06686 	 2.06686 	3
       8 	 2.07944 	 2.07944 	3
     8.1 	 2.09186 	 2.09186 	4
     8.2 	 2.10413 	 2.10413 	4
     8.3 	 2.11626 	 2.11626 	4
     8.4 	 2.12823 	 2.12823 	4
     8.5 	 2.14007 	 2.14007 	4
     8.6 	 2.15176 	 2.15176 	4
     8.7 	 2.16332 	 2.16332 	4
     8.8 	 2.17475 	 2.17475 	4
     8.9 	 2.18605 	 2.18605 	4
       9 	 2.19722 	 2.19722 	4
     9.1 	 2.20827 	 2.20827 	4
     9.2 	  2.2192 	  2.2192 	4
     9.3 	 2.23001 	 2.23001 	4
     9.4 	 2.24071 	 2.24071 	4
     9.5 	 2.25129 	 2.25129 	4
     9.6 	 2.26176 	 2.26176 	4
     9.7 	 2.27213 	 2.27213 	4
     9.8 	 2.28238 	 2.28238 	4
     9.9 	 2.29253 	 2.29253 	4
      10 	 2.30259 	 2.30259 	4


