0	0.5	0.5
0.05	0.512497	0.512497
0.1	0.524979	0.524979
0.15	0.53743	0.53743
0.2	0.549834	0.549834
0.25	0.562177	0.562177
0.3	0.574443	0.574443
0.35	0.586618	0.586618
0.4	0.598688	0.598688
0.45	0.610639	0.610639
0.5	0.622459	0.622459
0.55	0.634136	0.634136
0.6	0.645656	0.645656
0.65	0.65701	0.65701
0.7	0.668188	0.668188
0.75	0.679179	0.679179
0.8	0.689974	0.689974
0.85	0.700567	0.700567
0.9	0.71095	0.71095
0.95	0.721115	0.721115
1	0.731059	0.731059
1.05	0.740775	0.740775
1.1	0.75026	0.75026
1.15	0.759511	0.759511
1.2	0.768525	0.768525
1.25	0.7773	0.7773
1.3	0.785835	0.785835
1.35	0.79413	0.79413
1.4	0.802184	0.802184
1.45	0.809998	0.809998
1.5	0.817574	0.817574
1.55	0.824914	0.824914
1.6	0.832018	0.832018
1.65	0.838891	0.838891
1.7	0.845535	0.845535
1.75	0.851953	0.851953
1.8	0.858149	0.858149
1.85	0.864127	0.864127
1.9	0.869892	0.869892
1.95	0.875447	0.875447
2	0.880797	0.880797
2.05	0.885948	0.885948
2.1	0.890903	0.890903
2.15	0.895669	0.895669
2.2	0.90025	0.90025
2.25	0.904651	0.904651
2.3	0.908877	0.908877
2.35	0.912934	0.912934
2.4	0.916827	0.916827
2.45	0.920561	0.920561
2.5	0.924142	0.924142
2.55	0.927574	0.927574
2.6	0.930862	0.930862
2.65	0.934011	0.934011
2.7	0.937027	0.937027
2.75	0.939913	0.939913
2.8	0.942676	0.942676
2.85	0.945319	0.945319
2.9	0.947846	0.947846
2.95	0.950263	0.950263
3	0.952574	0.952574
x 	 y
0 	 1
0.1 	 0.960067
0.2 	 0.920532
0.3 	 0.881792
0.4 	 0.844233
0.5 	 0.80823
0.6 	 0.774143
0.7 	 0.742313
0.8 	 0.713058
0.9 	 0.686669
1 	 0.663412
1.1 	 0.643517
1.2 	 0.627184
1.3 	 0.614577
1.4 	 0.60582
1.5 	 0.601002
1.6 	 0.600171
1.7 	 0.603334
1.8 	 0.610461
1.9 	 0.62148
2 	 0.636281
2.1 	 0.654716
2.2 	 0.676601
2.3 	 0.701718
2.4 	 0.729815
2.5 	 0.760611
2.6 	 0.793799
2.7 	 0.829048
2.8 	 0.866005
2.9 	 0.9043
3 	 0.943552
3.1 	 0.983368
3.2 	 1.02335
3.3 	 1.0631
3.4 	 1.10222
3.5 	 1.14031
3.6 	 1.17701
3.7 	 1.21193
3.8 	 1.24474
3.9 	 1.27511
4 	 1.30272
4.1 	 1.32731
4.2 	 1.34863
4.3 	 1.36647
4.4 	 1.38064
4.5 	 1.39101
4.6 	 1.39748
4.7 	 1.39997
4.8 	 1.39847
4.9 	 1.39298
5 	 1.38357
5.1 	 1.37033
5.2 	 1.35338
5.3 	 1.33291
5.4 	 1.30911
5.5 	 1.28222
5.6 	 1.25251
5.7 	 1.22027
5.8 	 1.18584
5.9 	 1.14955
6 	 1.11177
6.1 	 1.07287
6.2 	 1.03324
6.3 	 0.993274
6.4 	 0.95338
6.5 	 0.913952
6.6 	 0.875383
6.7 	 0.83806
6.8 	 0.802355
6.9 	 0.768624
7 	 0.737205
7.1 	 0.708412
7.2 	 0.682533
7.3 	 0.659825
7.4 	 0.640517
7.5 	 0.6248
7.6 	 0.612832
7.7 	 0.604733
7.8 	 0.600583
7.9 	 0.600423
8 	 0.604257
8.1 	 0.612044
8.2 	 0.623708
8.3 	 0.639131
8.4 	 0.65816
8.5 	 0.680605
8.6 	 0.706241
8.7 	 0.734812
8.8 	 0.766033
8.9 	 0.799592
9 	 0.835153
9.1 	 0.872361
9.2 	 0.910844
9.3 	 0.950218
9.4 	 0.99009
9.5 	 1.03006
9.6 	 1.06973
9.7 	 1.1087
9.8 	 1.14659
9.9 	 1.18301
10 	 1.21761
10.1 	 1.25003
10.2 	 1.27995
10.3 	 1.30707
10.4 	 1.33113
10.5 	 1.35188
10.6 	 1.36911
10.7 	 1.38265
10.8 	 1.39237
10.9 	 1.39817
11 	 1.4
11.1 	 1.39782
11.2 	 1.39167
11.3 	 1.38161
11.4 	 1.36773
11.5 	 1.35018
11.6 	 1.32913
11.7 	 1.30479
11.8 	 1.27741
11.9 	 1.24725
12 	 1.21463
12.1 	 1.17986
12.2 	 1.14329
12.3 	 1.10529
12.4 	 1.06624
12.5 	 1.02653
12.6 	 0.986551
12.7 	 0.946707
12.8 	 0.907396
12.9 	 0.86901
13 	 0.831933
13.1 	 0.796535
13.2 	 0.763171
13.3 	 0.732172
13.4 	 0.70385
13.5 	 0.678486
13.6 	 0.656335
13.7 	 0.637618
13.8 	 0.622522
13.9 	 0.611197
14 	 0.603757
14.1 	 0.600276
14.2 	 0.600789
14.3 	 0.605291
14.4 	 0.613737
14.5 	 0.626042
14.6 	 0.642084
14.7 	 0.661701
14.8 	 0.684699
14.9 	 0.710847
15 	 0.739885
15.1 	 0.771521
15.2 	 0.805441
15.3 	 0.841304
15.4 	 0.878753
15.5 	 0.917413
15.6 	 0.956899
15.7 	 0.996815
15.8 	 1.03676
15.9 	 1.07634
16 	 1.11516
16.1 	 1.15283
16.2 	 1.18897
16.3 	 1.22322
16.4 	 1.25524
16.5 	 1.28471
16.6 	 1.31134
16.7 	 1.33486
16.8 	 1.35503
16.9 	 1.37165
17 	 1.38456
17.1 	 1.39363
17.2 	 1.39876
17.3 	 1.39991
17.4 	 1.39706
17.5 	 1.39025
17.6 	 1.37954
17.7 	 1.36503
17.8 	 1.34688
17.9 	 1.32526
18 	 1.30039
18.1 	 1.27253
18.2 	 1.24193
18.3 	 1.20892
18.4 	 1.17383
18.5 	 1.13699
18.6 	 1.09879
18.7 	 1.0596
18.8 	 1.01981
18.9 	 0.979831
19 	 0.940049
19.1 	 0.900866
19.2 	 0.862674
19.3 	 0.825854
19.4 	 0.790774
19.5 	 0.757784
19.6 	 0.727215
19.7 	 0.699371
19.8 	 0.674531
19.9 	 0.652942
20 	 0.634822
20.1 	 0.62035
20.2 	 0.609672
20.3 	 0.602893
20.4 	 0.600083
20.5 	 0.601268
20.6 	 0.606437
20.7 	 0.615539
20.8 	 0.628482
20.9 	 0.645137
21 	 0.665338
21.1 	 0.688882
21.2 	 0.715536
21.3 	 0.745031
21.4 	 0.777074
21.5 	 0.811344
21.6 	 0.8475
21.7 	 0.885179
21.8 	 0.924005
21.9 	 0.963591
22 	 1.00354
22.1 	 1.04345
22.2 	 1.08293
22.3 	 1.12159
22.4 	 1.15902
22.5 	 1.19487
22.6 	 1.22877
22.7 	 1.26038
22.8 	 1.2894
22.9 	 1.31552
23 	 1.33849
23.1 	 1.35807
23.2 	 1.37408
23.3 	 1.38636
23.4 	 1.39477
23.5 	 1.39923
23.6 	 1.39971
23.7 	 1.39619
23.8 	 1.38872
23.9 	 1.37736
24 	 1.36223
24.1 	 1.34348
24.2 	 1.3213
24.3 	 1.29591
24.4 	 1.26756
24.5 	 1.23654
24.6 	 1.20316
24.7 	 1.16774
24.8 	 1.13065
24.9 	 1.09226
25 	 1.05294
25.1 	 1.01309
25.2 	 0.973117
25.3 	 0.933408
25.4 	 0.894365
25.5 	 0.856377
25.6 	 0.819824
25.7 	 0.785071
25.8 	 0.752466
25.9 	 0.722334
26 	 0.694977
26.1 	 0.670667
26.2 	 0.649648
26.3 	 0.632129
26.4 	 0.618286
26.5 	 0.608257
26.6 	 0.602142
26.7 	 0.600003
26.8 	 0.60186
26.9 	 0.607695
27 	 0.61745
27.1 	 0.631027
27.2 	 0.648291
27.3 	 0.669069
27.4 	 0.693153
27.5 	 0.720304
27.6 	 0.750249
27.7 	 0.78269
27.8 	 0.817302
27.9 	 0.853739
28 	 0.891638
28.1 	 0.930619
28.2 	 0.970294
28.3 	 1.01027
28.4 	 1.05013
28.5 	 1.0895
28.6 	 1.12798
28.7 	 1.16517
28.8 	 1.20072
28.9 	 1.23425
29 	 1.26545
29.1 	 1.294
29.2 	 1.31961
29.3 	 1.34202
29.4 	 1.36102
29.5 	 1.37641
29.6 	 1.38804
29.7 	 1.39579
29.8 	 1.39959
29.9 	 1.3994
30 	 1.39521
30.1 	 1.38708
30.2 	 1.37508
30.3 	 1.35933
30.4 	 1.33999
30.5 	 1.31725
30.6 	 1.29134
30.7 	 1.26253
30.8 	 1.23109
30.9 	 1.19734
31 	 1.16162
31.1 	 1.12428
31.2 	 1.0857
31.3 	 1.04627
31.4 	 1.00637
