x 	 y
0 	 1
0.1 	 0.960115
0.2 	 0.920721
0.3 	 0.882204
0.4 	 0.844942
0.5 	 0.8093
0.6 	 0.775629
0.7 	 0.74426
0.8 	 0.715502
0.9 	 0.689638
1 	 0.666922
1.1 	 0.647579
1.2 	 0.631798
1.3 	 0.619737
1.4 	 0.611514
1.5 	 0.60721
1.6 	 0.606867
1.7 	 0.610489
1.8 	 0.61804
1.9 	 0.629446
2 	 0.644594
2.1 	 0.663335
2.2 	 0.685483
2.3 	 0.710821
2.4 	 0.739099
2.5 	 0.770039
2.6 	 0.803335
2.7 	 0.838661
2.8 	 0.875669
2.9 	 0.913997
3 	 0.953267
3.1 	 0.993094
3.2 	 1.03309
3.3 	 1.07286
3.4 	 1.11202
3.5 	 1.15018
3.6 	 1.18698
3.7 	 1.22204
3.8 	 1.25504
3.9 	 1.28565
4 	 1.31357
4.1 	 1.33852
4.2 	 1.36028
4.3 	 1.37861
4.4 	 1.39336
4.5 	 1.40437
4.6 	 1.41153
4.7 	 1.41479
4.8 	 1.41409
4.9 	 1.40947
5 	 1.40094
5.1 	 1.38861
5.2 	 1.37259
5.3 	 1.35303
5.4 	 1.33013
5.5 	 1.3041
5.6 	 1.27521
5.7 	 1.24373
5.8 	 1.20997
5.9 	 1.17426
6 	 1.13694
6.1 	 1.09839
6.2 	 1.05897
6.3 	 1.01908
6.4 	 0.979096
6.5 	 0.939419
6.6 	 0.900436
6.7 	 0.862529
6.8 	 0.82607
6.9 	 0.791417
7 	 0.75891
7.1 	 0.72887
7.2 	 0.701592
7.3 	 0.677345
7.4 	 0.656368
7.5 	 0.638868
7.6 	 0.625016
7.7 	 0.61495
7.8 	 0.60877
7.9 	 0.606535
8 	 0.608269
8.1 	 0.613954
8.2 	 0.623533
8.3 	 0.636913
8.4 	 0.653962
8.5 	 0.674511
8.6 	 0.698357
8.7 	 0.725266
8.8 	 0.754973
8.9 	 0.787185
9 	 0.821585
9.1 	 0.857836
9.2 	 0.895581
9.3 	 0.934449
9.4 	 0.974059
9.5 	 1.01402
9.6 	 1.05395
9.7 	 1.09345
9.8 	 1.13213
9.9 	 1.16963
10 	 1.20556
10.1 	 1.23959
10.2 	 1.27137
10.3 	 1.30061
10.4 	 1.32701
10.5 	 1.35032
10.6 	 1.37031
10.7 	 1.38679
10.8 	 1.39959
10.9 	 1.4086
11 	 1.41373
11.1 	 1.41492
11.2 	 1.41216
11.3 	 1.40549
11.4 	 1.39496
11.5 	 1.38068
11.6 	 1.36278
11.7 	 1.34145
11.8 	 1.31689
11.9 	 1.28933
12 	 1.25905
12.1 	 1.22633
12.2 	 1.19151
12.3 	 1.15491
12.4 	 1.1169
12.5 	 1.07785
12.6 	 1.03813
12.7 	 0.998145
12.8 	 0.958275
12.9 	 0.918913
13 	 0.880446
13.1 	 0.84325
13.2 	 0.807692
13.3 	 0.774121
13.4 	 0.742867
13.5 	 0.714237
13.6 	 0.688513
13.7 	 0.665949
13.8 	 0.646767
13.9 	 0.631156
14 	 0.61927
14.1 	 0.611227
14.2 	 0.607106
14.3 	 0.606947
14.4 	 0.610753
14.5 	 0.618485
14.6 	 0.630067
14.7 	 0.645385
14.8 	 0.664288
14.9 	 0.686589
15 	 0.71207
15.1 	 0.740477
15.2 	 0.771533
15.3 	 0.804931
15.4 	 0.840342
15.5 	 0.87742
15.6 	 0.915799
15.7 	 0.955104
15.8 	 0.994948
15.9 	 1.03494
16 	 1.07469
16.1 	 1.11381
16.2 	 1.15192
16.3 	 1.18864
16.4 	 1.22362
16.5 	 1.25652
16.6 	 1.287
16.7 	 1.31479
16.8 	 1.3396
16.9 	 1.3612
17 	 1.37938
17.1 	 1.39395
17.2 	 1.40479
17.3 	 1.41177
17.4 	 1.41484
17.5 	 1.41397
17.6 	 1.40916
17.7 	 1.40045
17.8 	 1.38795
17.9 	 1.37176
18 	 1.35204
18.1 	 1.32899
18.2 	 1.30283
18.3 	 1.27381
18.4 	 1.24221
18.5 	 1.20836
18.6 	 1.17256
18.7 	 1.13518
18.8 	 1.09658
18.9 	 1.05713
19 	 1.01722
19.1 	 0.977246
19.2 	 0.937593
19.3 	 0.898652
19.4 	 0.860804
19.5 	 0.82442
19.6 	 0.789859
19.7 	 0.75746
19.8 	 0.727542
19.9 	 0.700399
20 	 0.676299
20.1 	 0.655478
20.2 	 0.638143
20.3 	 0.624465
20.4 	 0.614577
20.5 	 0.608578
20.6 	 0.606528
20.7 	 0.608445
20.8 	 0.614312
20.9 	 0.62407
21 	 0.637624
21.1 	 0.654839
21.2 	 0.675545
21.3 	 0.699539
21.4 	 0.726584
21.5 	 0.756414
21.6 	 0.788734
21.7 	 0.823228
21.8 	 0.859556
21.9 	 0.897361
22 	 0.936272
22.1 	 0.975907
22.2 	 1.01588
22.3 	 1.05579
22.4 	 1.09526
22.5 	 1.1339
22.6 	 1.17133
22.7 	 1.20718
22.8 	 1.24111
22.9 	 1.27279
23 	 1.3019
23.1 	 1.32816
23.2 	 1.35132
23.3 	 1.37115
23.4 	 1.38746
23.5 	 1.4001
23.6 	 1.40893
23.7 	 1.41387
23.8 	 1.41488
23.9 	 1.41194
24 	 1.40508
24.1 	 1.39438
24.2 	 1.37993
24.3 	 1.36187
24.4 	 1.34038
24.5 	 1.31567
24.6 	 1.28798
24.7 	 1.25758
24.8 	 1.22476
24.9 	 1.18985
25 	 1.15318
25.1 	 1.11511
25.2 	 1.07602
25.3 	 1.03628
25.4 	 0.996291
25.5 	 0.956436
25.6 	 0.917107
25.7 	 0.87869
25.8 	 0.841563
25.9 	 0.806089
26 	 0.772618
26.1 	 0.741479
26.2 	 0.712978
26.3 	 0.687395
26.4 	 0.664983
26.5 	 0.645963
26.6 	 0.630521
26.7 	 0.618812
26.8 	 0.610949
26.9 	 0.607011
27 	 0.607036
27.1 	 0.611025
27.2 	 0.618937
27.3 	 0.630696
27.4 	 0.646184
27.5 	 0.665248
27.6 	 0.687702
27.7 	 0.713324
27.8 	 0.741861
27.9 	 0.773032
28 	 0.806531
28.1 	 0.842028
28.2 	 0.879174
28.3 	 0.917604
28.4 	 0.956942
28.5 	 0.996802
28.6 	 1.03679
28.7 	 1.07652
28.8 	 1.11561
28.9 	 1.15366
29 	 1.19031
29.1 	 1.2252
29.2 	 1.25798
29.3 	 1.28835
29.4 	 1.31601
29.5 	 1.34068
29.6 	 1.36212
29.7 	 1.38014
29.8 	 1.39454
29.9 	 1.4052
30 	 1.412
30.1 	 1.41489
30.2 	 1.41383
